id_linea,id_pedido,producto,cantidad,cantidad_completada,precio_unitario,importe
202510-001-1,202510-001,Maceta 8,5,0,15.73,78.65
202510-002-1,202510-002,Maceta 6,5,0,10.96,54.80
202510-002-2,202510-002,Bote 10 lts c/tapa,10,0,39.78,397.80
202510-002-3,202510-002,Bandeja Chica,20,0,12.29,245.80
202510-004-1,202510-004,Bote 10 lts c/tapa,10,5,35.80,358.00
202510-004-2,202510-004,Batidor 1,30,0,3.29,98.70
202510-003-1,202510-003,Plato Taquero chico,10,10,5.17,51.70
202510-003-2,202510-003,Bandeja Chica,15,15,12.29,184.35
202510-005-1,202510-005,Batidor 1,20,0,3.66,73.20
202510-005-2,202510-005,Bote 3 lts c/tapa,50,0,21.31,1065.50
202510-005-3,202510-005,Molcajete chico colores emb,15,0,4.38,65.70
202510-006-1,202510-006,Cubeta redonda c/pico,10,10,23.47,234.70
202510-006-3,202510-006,Maceta Colgante,30,30,15.56,466.80
202510-007-1,202510-007,Maceta 4,10,0,7.29,72.90
202510-008-1,202510-008,Maceta Colgante,10,5,17.29,172.90
202510-008-2,202510-008,Molcajete grande negro,15,10,8.18,122.70
202510-008-3,202510-008,Maceta 8,40,40,15.73,629.20
202510-009-1,202510-009,Maceta Colgante,10,0,15.56,155.60
202510-010-1,202510-010,Maceta Colgante,10,6,15.56,155.60
202510-010-2,202510-010,Batidor 1,20,10,3.29,65.80
202511-001-1,202511-001,Maceta Colgante,50,0,17.29,864.50
202511-001-2,202511-001,Molcajete chico colores emb,200,0,4.38,876.00
202511-001-3,202511-001,Bandeja Grande,70,0,16.62,1163.40
202511-001-4,202511-001,Cubeta rectangular c/pico,100,0,32.98,3298.00
